concept,value,display_value,formatted_value,context_ref,unit_ref,decimals,scaling_factor,level,parent_concept,order,period_type,period_start,period_end,dimensions,sign,scale,format,is_nil,fact_id
ifrs-full_IssuedCapital,445,445000000,"445,000,000",c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,43,instant,,2024-02-24,,,,,,fact-244
ifrs-full_SharePremium,51 6 5,51 6 5,51 6 5,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,44,instant,,2025-02-22,,,,,,fact-245
ifrs-full_SharePremium,5 1 6 5,5 1 6 5,5 1 6 5,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,44,instant,,2024-02-24,,,,,,fact-246
ifrs-full_OtherReserves,3 1 4 0,3 1 4 0,3 1 4 0,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,45,instant,,2025-02-22,,,,,,fact-247
ifrs-full_OtherReserves,3 13 1,3 13 1,3 13 1,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,45,instant,,2024-02-24,,,,,,fact-248
ifrs-full_RetainedEarnings,29 35,29 35,29 35,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,46,instant,,2025-02-22,,,,,,fact-249
ifrs-full_RetainedEarnings,29 30,29 30,29 30,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,46,instant,,2024-02-24,,,,,,fact-250
ifrs-full_EquityAttributableToOwnersOfParent,11 666,11 666,11 666,c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,47,instant,,2025-02-22,,,,,,fact-251
ifrs-full_EquityAttributableToOwnersOfParent,11 671,11 671,11 671,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,47,instant,,2024-02-24,,,,,,fact-252
ifrs-full_NoncontrollingInterests,4,4000000,"4,000,000",c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,48,instant,,2025-02-22,,,,,,fact-253
ifrs-full_NoncontrollingInterests,6,6000000,"6,000,000",c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,48,instant,,2024-02-24,,,,,,fact-254
ifrs-full_Equity,11662,11662000000,"11,662,000,000",c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2025-02-22,,,,,,fact-255
ifrs-full_Equity,11 665,11 665,11 665,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2024-02-24,,,,,,fact-256
ifrs-full_Equity,445,445000000,"445,000,000",c-9,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2024-02-24,,,,,,fact-257
ifrs-full_Equity,5 1 6 5,5 1 6 5,5 1 6 5,c-10,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2024-02-24,,,,,,fact-258
ifrs-full_Equity,3 13 1,3 13 1,3 13 1,c-11,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2024-02-24,,,,,,fact-259
ifrs-full_Equity,2930,2930000000,"2,930,000,000",c-12,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2024-02-24,,,,,,fact-260
ifrs-full_Equity,1167 1,1167 1,1167 1,c-13,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2024-02-24,,,,,,fact-261
ifrs-full_Equity,6,6000000,"6,000,000",c-14,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2024-02-24,,,,,,fact-262
ifrs-full_Equity,116 65,116 65,116 65,c-8,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2024-02-24,,,,,,fact-263
ifrs-full_Equity,426,426000000,"426,000,000",c-21,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2025-02-22,,,,,,fact-411
ifrs-full_Equity,5 1 6 5,5 1 6 5,5 1 6 5,c-22,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2025-02-22,,,,,,fact-412
ifrs-full_Equity,3 1 40,3 1 40,3 1 40,c-23,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2025-02-22,,,,,,fact-413
ifrs-full_Equity,29 35,29 35,29 35,c-24,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2025-02-22,,,,,,fact-414
ifrs-full_Equity,11 666,11 666,11 666,c-25,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2025-02-22,,,,,,fact-415
ifrs-full_Equity,4,4000000,"4,000,000",c-26,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2025-02-22,,,,,,fact-416
ifrs-full_Equity,11662,11662000000,"11,662,000,000",c-7,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2025-02-22,,,,,,fact-417
ifrs-full_Equity,463,463000000,"463,000,000",c-27,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2023-02-25,,,,,,fact-418
ifrs-full_Equity,5 1 6 5,5 1 6 5,5 1 6 5,c-28,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2023-02-25,,,,,,fact-419
ifrs-full_Equity,3 1 3 9,3 1 3 9,3 1 3 9,c-29,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2023-02-25,,,,,,fact-420
ifrs-full_Equity,346 9,346 9,346 9,c-30,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2023-02-25,,,,,,fact-421
ifrs-full_Equity,12 236,12 236,12 236,c-31,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2023-02-25,,,,,,fact-422
ifrs-full_Equity,11,11000000,"11,000,000",c-32,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2023-02-25,,,,,,fact-423
ifrs-full_Equity,12 225,12 225,12 225,c-33,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2023-02-25,,,,,,fact-424
ifrs-full_Equity,445,445000000,"445,000,000",c-9,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2024-02-24,,,,,,fact-579
ifrs-full_Equity,5 1 6 5,5 1 6 5,5 1 6 5,c-10,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2024-02-24,,,,,,fact-580
ifrs-full_Equity,3 13 1,3 13 1,3 13 1,c-11,u-1,-6,1000000,1,ifrs-full_StatementOfFinancialPositionAbstract,49,instant,,2024-02-24,,,,,,fact-581
