concept,value,display_value,formatted_value,context_ref,unit_ref,decimals,scaling_factor,level,parent_concept,order,period_type,period_start,period_end,dimensions,sign,scale,format,is_nil,fact_id
ifrs-full_DescriptionOfAccountingPolicyForBorrowingsExplanatory,Borrowings Bor,Borrowings Bor,Borrowings Bor,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-789
ifrs-full_DescriptionOfAccountingPolicyForFinancialLiabilitiesExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-826
ifrs-full_DescriptionOfAccountingPolicyForTradeAndOtherPayablesExplanatory,T T,T T,T T,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-788
ifrs-full_DescriptionOfAccountingPolicyForIssuedCapitalExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-852
ifrs-full_DescriptionOfAccountingPolicyForDerivativeFinancialInstrumentsAndHedgingExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-790
ifrs-full_DescriptionOfAccountingPolicyForHedgingExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-827
ifrs-full_DescriptionOfAccountingPolicyForDerivativeFinancialInstrumentsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-853
ifrs-full_DescriptionOfAccountingPolicyForOffsettingOfFinancialInstrumentsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-791
ifrs-full_DescriptionOfAccountingPolicyForProvisionsExplanatory,Provisions  Provisio,Provisions  Provisio,Provisions  Provisio,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-744
tescoplc_DescriptionOfAccountingPolicyForSupplierFinancingArrangements,Suppl Management r,Suppl Management r,Suppl Management r,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-745
ifrs-full_DescriptionOfAccountingPolicyForInsuranceContracts,Insurance  Classification of insurance contracts,Insurance  Classification of insurance contracts,Insurance  Classification of insurance contracts,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-746
ifrs-full_DescriptionOfAccountingPolicyForDeferredAcquisitionCostsArisingFromInsuranceContractsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-828
ifrs-full_DescriptionOfAccountingPolicyForReinsuranceExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-792
ifrs-full_DescriptionOfAccountingPolicyForDerecognitionOfFinancialInstrumentsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-829
tescoplc_DescriptionOfAccountingPolicyForAlternativePerformanceMeasuresAPMs,Alte In the re,Alte In the re,Alte In the re,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-747
ifrs-full_DisclosureOfAccountingJudgementsAndEstimatesExplanatory,Jud The prepara,Jud The prepara,Jud The prepara,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-748
ifrs-full_DescriptionOfAccountingPolicyForInvestmentsInJointVentures,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-868
ifrs-full_DescriptionOfAccountingPolicyForInvestmentInAssociates,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-882
ifrs-full_DescriptionOfAccountingPolicyForInvestmentInAssociatesAndJointVenturesExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-883
ifrs-full_DescriptionOfAccountingPolicyForExceptionalItemsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-830
ifrs-full_ExplanationOfAssumptionAboutFutureWithSignificantRiskOfResultingInMaterialAdjustments,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-793
ifrs-full_DisclosureOfAssetsAndLiabilitiesWithSignificantRiskOfMaterialAdjustmentExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-831
ifrs-full_DisclosureOfEntitysReportableSegmentsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-749
ifrs-full_DisclosureOfReclassificationsOrChangesInPresentationExplanatory,Note 2 Segme The Group,Note 2 Segme The Group,Note 2 Segme The Group,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-854
ifrs-full_DisclosureOfProfitLossFromOperatingActivitiesExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-875
ifrs-full_DisclosureOfRevenueExplanatory,Income stat The s,Income stat The s,Income stat The s,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-794
ifrs-full_DisclosureOfDepreciationAndAmortisationExpenseExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-795
ifrs-full_DisclosureOfGeneralAndAdministrativeExpenseExplanatory,Note 4 Opera Audit,Note 4 Opera Audit,Note 4 Opera Audit,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-855
ifrs-full_DisclosureOfAuditorsRemunerationExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-796
ifrs-full_DisclosureOfInformationAboutEmployeesExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-797
ifrs-full_DisclosureOfEmployeeBenefitsExplanatory,Employment co,Employment co,Employment co,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-832
tescoplc_DisclosureOfAdjustingItems,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-750
ifrs-full_DisclosureOfCashFlowStatementExplanatory,Gro The t,Gro The t,Gro The t,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-879
ifrs-full_DisclosureOfFinanceIncomeExpenseExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-751
ifrs-full_DisclosureOfFinanceIncomeExplanatory,Note 6 Finance income a,Note 6 Finance income a,Note 6 Finance income a,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-798
ifrs-full_DisclosureOfFinanceCostExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-833
ifrs-full_DisclosureOfInterestExpenseExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-856
ifrs-full_DisclosureOfInterestIncomeExpenseExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-869
ifrs-full_DisclosureOfInterestIncomeExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-876
ifrs-full_DisclosureOfIncomeTaxExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-752
ifrs-full_DisclosureOfDeferredTaxesExplanatory,Defe The foll,Defe The foll,Defe The foll,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-799
ifrs-full_DisclosureOfNoncurrentAssetsHeldForSaleAndDiscontinuedOperationsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-753
ifrs-full_DisclosureOfNoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleExplanatory,Note 8 Discontinued ope The foll,Note 8 Discontinued ope The foll,Note 8 Discontinued ope The foll,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-800
ifrs-full_DisclosureOfDiscontinuedOperationsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-834
ifrs-full_DisclosureOfDividendsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-754
ifrs-full_DividendsRecognisedAsDistributionsToOwnersPerShare,12.5 0,12.5 0,12.5 0,c-1,u-2,4,0.0001,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-838
ifrs-full_DividendsRecognisedAsDistributionsToOwnersPerShare,10.9 0,10.9 0,10.9 0,c-6,u-2,4,0.0001,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-835
ifrs-full_DividendsProposedOrDeclaredBeforeFinancialStatementsAuthorisedForIssueButNotRecognisedAsDistributionToOwnersPerShare,9.4 5,9.4 5,9.4 5,c-1,u-2,4,0.0001,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-839
ifrs-full_DividendsProposedOrDeclaredBeforeFinancialStatementsAuthorisedForIssueButNotRecognisedAsDistributionToOwnersPerShare,8.25,0.000825,0,c-6,u-2,4,0.0001,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-836
ifrs-full_DisclosureOfEarningsPerShareExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-755
ifrs-full_DividendsProposedOrDeclaredBeforeFinancialStatementsAuthorisedForIssueButNotRecognisedAsDistributionToOwners,637,637000000,"637,000,000",c-1,u-1,-6,1000000,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-840
ifrs-full_DividendsProposedOrDeclaredBeforeFinancialStatementsAuthorisedForIssueButNotRecognisedAsDistributionToOwners,581,581000000,"581,000,000",c-6,u-1,-6,1000000,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-837
ifrs-full_DisclosureOfIntangibleAssetsAndGoodwillExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-756
ifrs-full_DisclosureOfGoodwillExplanatory,Note 1,Note 1,Note 1,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-801
ifrs-full_DisclosureOfIntangibleAssetsExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-841
ifrs-full_DisclosureOfPropertyPlantAndEquipmentExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-757
ifrs-full_DisclosureOfLeasesExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-758
ifrs-full_DisclosureOfInvestmentsAccountedForUsingEquityMethodExplanatory,,,,c-1,,,,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-759
ifrs-full_DisclosureOfInterestsInOtherEntitiesExplanatory,Note 1 The G,Note 1 The G,Note 1 The G,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-857
ifrs-full_DisclosureOfSignificantInvestmentsInSubsidiariesExplanatory,Subsidiar The a,Subsidiar The a,Subsidiar The a,c-1,,,1,1,esef_cor_NotesAccountingPoliciesAndMandatoryTags,1,instant,,,,,,,,fact-802
